# MeV      cm2
5.31868e-1 1.82021e-31
5.56559e-1 8.83805e-32
5.84879e-1 4.19247e-32
6.19013e-1 2.01207e-32
6.60738e-1 9.54459e-33
7.14333e-1 4.52762e-33
7.76669e-1 2.30329e-33
8.50454e-1 1.33197e-33
9.47230e-1 8.45523e-34
1.05502e+0 5.68932e-34
1.17841e+0 3.91848e-34
1.36955e+0 2.82759e-34
1.55598e+0 2.21382e-34
1.86566e+0 1.52475e-34
2.14381e+0 1.22192e-34
2.67460e+0 9.34647e-35
