# GeV      cm2
3.88893e-2 5.05905e-40
4.30183e-2 2.90821e-40
4.79219e-2 1.67179e-40
5.49091e-2 9.69252e-41
6.87832e-2 4.90349e-41
9.98909e-2 2.63311e-41
1.40379e-1 2.39761e-41
1.93155e-1 2.16465e-41
2.78542e-1 2.50192e-41
3.83261e-1 3.01755e-41
5.27349e-1 3.63945e-41
6.85871e-1 4.54165e-41
8.75454e-1 5.57176e-41
1.17114e+0 7.25547e-41
1.59637e+0 9.61031e-41
2.21725e+0 1.32833e-40
3.10864e+0 1.85170e-40
4.23738e+0 2.43189e-40
6.64926e+0 3.81942e-40
9.58869e+0 5.50884e-40
