2638130.62985	2.6411979278e-28
2638130.62985	1.63406806361e-28
2694980.05591	8.49004422692e-29
2753054.53777	3.70442135516e-29
2812380.47433	1.35737992471e-29
2998139.608	5.42746656077e-30
3196168.22513	1.67012437764e-30
3335401.71823	3.95509025113e-31
3555706.66603	1.02206536853e-31
3955689.75232	3.58510904437e-32
4307836.97186	1.10319942913e-32
4895700.19924	4.81353855769e-33
5446419.77741	2.39412553891e-33
5931276.19973	1.41794298306e-33
6885935.69941	8.3978983998e-34
7660537.78887	5.1956490773e-34
8893527.94588	3.82770437571e-34
10774755.0892	2.94573932683e-34
13335214.3216	2.81992116286e-34
17594234.2699	2.81992116286e-34
22723827.3775	3.07717119753e-34
28123804.7433	3.66421579666e-34
35557066.6603	4.17689040841e-34
46913333.8005	5.42746656077e-34
59312761.9973	6.7512452737e-34
76605377.8887	8.77259261886e-34
103249721.5	1.35737992471e-33
127785472.009	1.76378440209e-33
158151776.288	2.19397779334e-33
208662518.284	2.97806141194e-33
281238047.433	4.60794311411e-33
387224620.638	6.533800605e-33
510896977.451	9.89146602225e-33
688593569.941	1.40255348384e-32
908517575.652	2.12331397429e-32
1421601188.16	3.58510904437e-32
1957341781.49	5.54722561064e-32
2694980055.91	8.3978983998e-32
3710602599.11	1.2713508064e-31
4895700199.24	1.96715627504e-31
6885935699.41	3.11093541707e-31
9685256148.6	4.60794311411e-31
13622576619.8	7.12985288275e-31
19573417814.9	1.20383986374e-30
30627469151.7	2.07747375037e-30
39556897523.2	3.07717119753e-30
56836801457.8	4.76129530902e-30
96852561486.0	9.57288086277e-30
