# Mass [GeV/c^2]	Cross-section [cm^2]
0.03	3.30520e-28
0.032	1.15753e-28
0.035	4.15183e-29
0.04	1.22025e-29
0.045	4.67454e-30
0.05	2.04631e-30
0.06	4.84952e-31
0.08	6.71524e-32
0.1	1.83514e-32
0.125	2.60377e-33
0.15	7.50363e-34
0.175	3.66583e-34
0.2	2.42324e-34
0.25	1.49066e-34
0.3	9.58237e-35
0.5	6.564e-35
0.75	8.029e-35
1.0	1.154e-34
