# MeV      cm2
5.33061e-1 4.58527e-30
5.63529e-1 1.67183e-30
5.99145e-1 5.99563e-31
6.37921e-1 2.37453e-31
6.83090e-1 9.88255e-32
7.50464e-1 3.42883e-32
8.19796e-1 1.40364e-32
9.03225e-1 6.03828e-33
9.95144e-1 2.77526e-33
1.12171e+0 1.29682e-33
1.27160e+0 6.36799e-34
1.44975e+0 2.97561e-34
1.67183e+0 1.48554e-34
1.92792e+0 8.19009e-35
2.22007e+0 4.98648e-35
2.65679e+0 3.03598e-35
