# MeV      DM-e
4.98869e-1 1.92495e-38
5.82238e-1 2.04934e-38
7.34128e-1 2.25117e-38
8.97470e-1 2.57157e-38
1.14922e+0 2.80280e-38
1.42680e+0 2.98392e-38
1.79901e+0 3.27779e-38
2.26832e+0 4.08098e-38
2.86006e+0 5.08100e-38
3.77730e+0 6.32606e-38
4.54693e+0 8.92706e-38
5.64518e+0 1.14681e-37
7.34128e+0 1.38381e-37
9.25642e+0 1.59319e-37
1.18529e+1 1.86318e-37
1.47158e+1 2.28371e-37
1.74426e+1 2.75567e-37
1.74426e+1 2.82114e-37
2.03575e+1 3.43092e-37
