# WIMP Mass (GeV/c^2)	Cross Section (cm^2)	Upper Boundary (cm^2)
1.116353640000000036e+00	2.694737179999999517e-37	6.167709919999999719e-31
1.135107209999999922e+00	2.683431579999999904e-37	6.060262559999999996e-31
1.154175830000000014e+00	2.675070209999999837e-37	5.953587569999999185e-31
1.173564779999999974e+00	2.669556109999999809e-37	5.847228139999999921e-31
1.193279439999999969e+00	2.666751169999999944e-37	5.741920799999999597e-31
1.213325290000000001e+00	2.666592820000000018e-37	5.637560609999999133e-31
1.233707890000000029e+00	2.668982670000000158e-37	5.533965600000000598e-31
1.254432889999999912e+00	2.673809630000000099e-37	5.431014409999999995e-31
1.275506060000000108e+00	2.680713459999999793e-37	5.329104769999999117e-31
1.296933230000000048e+00	2.689754810000000129e-37	5.228222469999999437e-31
1.318720349999999986e+00	2.700947570000000125e-37	5.128376049999999582e-31
1.340873470000000012e+00	2.714246009999999544e-37	5.029596489999999531e-31
1.363398749999999993e+00	2.729629669999999662e-37	4.931923410000000151e-31
1.386302420000000035e+00	2.744273169999999946e-37	4.835644249999999587e-31
1.409590860000000001e+00	2.752895129999999803e-37	4.741439509999999480e-31
1.433270510000000053e+00	2.763749890000000132e-37	4.648206279999999711e-31
1.457347960000000109e+00	2.776769909999999682e-37	4.555985999999999766e-31
1.481829880000000044e+00	2.791908989999999812e-37	4.464826899999999322e-31
1.506723079999999992e+00	2.809127920000000047e-37	4.374783439999999421e-31
1.532034450000000048e+00	2.828377479999999852e-37	4.285916250000000052e-31
1.557771030000000057e+00	2.849622520000000267e-37	4.198286559999999895e-31
1.583939959999999925e+00	2.872820319999999956e-37	4.111858129999999764e-31
1.610548489999999999e+00	2.897951589999999926e-37	4.026229149999999613e-31
1.637604030000000099e+00	2.924974839999999423e-37	3.941981589999999643e-31
1.665114060000000062e+00	2.953872559999999857e-37	3.859173439999999403e-31
1.693086239999999965e+00	2.984621919999999904e-37	3.777051619999999683e-31
1.721528320000000001e+00	3.017211089999999644e-37	3.696464050000000143e-31
1.750448199999999899e+00	3.051695750000000190e-37	3.616993699999999760e-31
1.779853899999999989e+00	3.088006909999999780e-37	3.538703629999999735e-31
1.809753589999999912e+00	3.126119170000000131e-37	3.461742619999999511e-31
1.840155559999999912e+00	3.166023469999999734e-37	3.385860659999999731e-31
1.871068249999999988e+00	3.207721009999999371e-37	3.311312129999999578e-31
1.902500239999999954e+00	3.251205890000000028e-37	3.237940030000000250e-31
1.934460260000000043e+00	3.296475360000000100e-37	3.165740939999999771e-31
1.966957169999999921e+00	3.343539229999999865e-37	3.094972330000000064e-31
2.000000000000000000e+00	3.392389939999999940e-37	3.025082059999999848e-31
