# Mass [GeV/c^2]	Cross-section [cm^2]
0.03	1.79855e-27
0.032	3.32652e-27
0.035	4.86291e-27
0.04	6.44589e-27
0.045	7.37500e-27
0.05	7.91221e-27
0.06	8.30730e-27
0.08	8.07251e-27
0.1	7.41227e-27
0.125	6.56927e-27
0.15	5.82652e-27
0.175	5.19600e-27
0.2	4.64914e-27
0.25	3.79244e-27
0.3	3.13527e-27
0.5	1.73916e-27
0.75	9.99844e-28
1.0	6.47760e-28
